src_url,english_names,japanese_names
https://en.wikipedia.org/wiki/Natsuyaki_Miyabi,Miyabi Natsuyaki,夏焼 雅
https://en.wikipedia.org/wiki/Sakae_Menda,Sakae Menda,免田栄
https://en.wikipedia.org/wiki/Yasuo_Fukuda,Yasuo Fukuda,福田 康夫
https://en.wikipedia.org/wiki/Shima_Sakon,Shima Kiyooki,島 清興
https://en.wikipedia.org/wiki/Shimazu_Tadatsune,Shimazu Tadatsune,島津 忠恒
https://en.wikipedia.org/wiki/Satoshi_Tajiri,Satoshi Tajiri,田尻 智
"https://en.wikipedia.org/wiki/William_Adams_(sailor,_born_1564)",William Adams,三浦按針
https://en.wikipedia.org/wiki/Yoshisuke_Aikawa,Yoshisuke Aikawa,鮎川 義介
https://en.wikipedia.org/wiki/Sasaki_Yoshikiyo,Sasaki Yoshikiyo,佐々木 義清
https://en.wikipedia.org/wiki/Ayumi_Kinoshita,Ayumi Kinoshita,木下 あゆ美
https://en.wikipedia.org/wiki/M%C5%8Dri_Okimoto,Mōri Okimoto,毛利興元
https://en.wikipedia.org/wiki/Tsunesabur%C5%8D_Makiguchi,Tsunesaburō Makiguchi,牧口 常三郎
https://en.wikipedia.org/wiki/Azai_Hisamasa,Azai Hisamasa,浅井 久政
https://en.wikipedia.org/wiki/Noriyuki_Makihara,Noriyuki Makihara,槇原 敬之
https://en.wikipedia.org/wiki/Noboru_Takeshita,Noboru Takeshita,竹下 登
https://en.wikipedia.org/wiki/%C5%8Cishi_Kuranosuke,Ōishi Yoshio,大石 良雄
https://en.wikipedia.org/wiki/Hiroko_Anzai,Hiroko Anzai,安西 ひろこ
https://en.wikipedia.org/wiki/Iijima_Ai,Ai Iijima,飯島 愛
https://en.wikipedia.org/wiki/Tomomi_Itano,Tomomi Itano,板野 友美
https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,Kuroda Yoshitaka,黒田 孝高
https://en.wikipedia.org/wiki/Haruna_Iikubo,Haruna Iikubo,飯窪 春菜
https://en.wikipedia.org/wiki/Sonoda_Tenkoko,Tenkōkō Sonoda,園田 天光光
https://en.wikipedia.org/wiki/Zenk%C5%8D_Suzuki,Zenkō Suzuki,鈴木 善幸
https://en.wikipedia.org/wiki/Azusa_Yamamoto,Azusa Yamamoto,山本 梓
https://en.wikipedia.org/wiki/Ishida_Mitsunari,Ishida Mitsunari,石田 三成
https://en.wikipedia.org/wiki/Yanagisawa_Yoshiyasu,Yanagisawa Yoshiyasu,柳沢 吉保
https://en.wikipedia.org/wiki/Minoru_%C5%8Cta,Minoru Ōta,大田 実
https://en.wikipedia.org/wiki/Masaki_Aiba,Masaki Aiba,相葉 雅紀
https://en.wikipedia.org/wiki/Rusu_Masakage,Rusu Masakage,留守 政景
https://en.wikipedia.org/wiki/K%C5%8Dji_Tamaki,Kōji Tamaki,玉置 浩二
https://en.wikipedia.org/wiki/Tachibana_Muneshige,Tachibana Muneshige,立花宗茂
https://en.wikipedia.org/wiki/Kusano_Hironori,Hironori Kusano,草野　博紀
https://en.wikipedia.org/wiki/Maaya_Sakamoto,Maaya Sakamoto,坂本 真綾
https://en.wikipedia.org/wiki/Terauchi_Masatake,Gensui Count Terauchi Masatake,寺内 正毅
https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,Katō Kiyomasa,加藤 清正
https://en.wikipedia.org/wiki/Junichi_Okada,Junichi Okada,岡田 准一
https://en.wikipedia.org/wiki/Aya_Matsuura,Aya Matsuura,松浦 亜弥
https://en.wikipedia.org/wiki/Joseph_Satoshi_Fukahori,Joseph Satoshi Fukahori,深堀 敏
https://en.wikipedia.org/wiki/Hirofumi_Uzawa,Hirofumi Uzawa,宇沢 弘文
https://en.wikipedia.org/wiki/Reika_Hashimoto,Reika Hashimoto,橋本麗香
https://en.wikipedia.org/wiki/Aki_Hoshino,Aki Hoshino,ほしの あき
https://en.wikipedia.org/wiki/Akiko_Wada,Akiko Wada,和田 アキ子
https://en.wikipedia.org/wiki/Toyotomi_Hideyoshi,Toyotomi Hideyoshi,豐臣 秀吉/豊臣 秀吉
https://en.wikipedia.org/wiki/Keita_Tachibana,Keita Tachibana,橘 慶太
https://en.wikipedia.org/wiki/Tokugawa_Iesada,Tokugawa Iesada,徳川 家定
https://en.wikipedia.org/wiki/Junnosuke_Taguchi,Taguchi junnosuke,田口 淳之介
https://en.wikipedia.org/wiki/Koshi_Inaba,Koshi Inaba,稲葉浩志
https://en.wikipedia.org/wiki/Matsukata_Masayoshi,Prince Matsukata Masayoshi,松方 正義
https://en.wikipedia.org/wiki/Kuroki_Itei,Count Kuroki Tamemoto GCMG,黒木 為楨
https://en.wikipedia.org/wiki/Shimazu_Tadahisa,Shimazu Tadahisa,島津 忠久
https://en.wikipedia.org/wiki/Sait%C5%8D_D%C5%8Dsan,Saitō Dōsan,斎藤 道三
https://en.wikipedia.org/wiki/Aterui,Aterui,アテルイ
https://en.wikipedia.org/wiki/Yukihiro_Takahashi,Yukihiro Takahashi,高橋 幸宏 Takahashi Yukihiro
https://en.wikipedia.org/wiki/Tao_Okamoto,Tao Okamoto,岡本 多緒
https://en.wikipedia.org/wiki/Amago_Yoshihisa,Amago Yoshihisa,尼子 義久
https://en.wikipedia.org/wiki/Momoiro_Clover_Z,Momoiro Clover Z,ももいろクローバーZ
https://en.wikipedia.org/wiki/Kibitsuhiko-no-mikoto,Kibitsu-hiko-no-mikoto,吉備津彦命
https://en.wikipedia.org/wiki/Haruomi_Hosono,Haruomi Hosono,細野 晴臣
https://en.wikipedia.org/wiki/F%C5%ABma_Kotar%C5%8D,Fūma Kotarō,風魔 小太郎
https://en.wikipedia.org/wiki/Hide_(musician),Hideto Matsumoto,松本 秀人
https://en.wikipedia.org/wiki/Momoe_Yamaguchi,Momoe Yamaguchi,山口 百恵
https://en.wikipedia.org/wiki/Hiranuma_Kiichir%C5%8D,Kiichirō Hiranuma,平沼 騏一郎
https://en.wikipedia.org/wiki/Iwane_Matsui,Iwane Matsui,松井 石根
https://en.wikipedia.org/wiki/Tsugunaga_Momoko,Momoko Tsugunaga,嗣永 桃子
https://en.wikipedia.org/wiki/Fukushima_Masanori,Fukushima Masanori,福島 正則
https://en.wikipedia.org/wiki/Hayato_Ikeda,Hayato Ikeda,池田 勇人
https://en.wikipedia.org/wiki/Tokuhichi_Mishima,Tokushichi Mishima,三島 徳七
https://en.wikipedia.org/wiki/Niimi_Nishiki,Niimi Nishiki,新見 錦
https://en.wikipedia.org/wiki/Ryuichi_Ogata,Ryuichi Ogata,緒方 龍一
https://en.wikipedia.org/wiki/Ii_Naosuke,Ii Naosuke,井伊 直弼
https://en.wikipedia.org/wiki/May_J.,May Jamileh Hashimoto,橋本 芽生
https://en.wikipedia.org/wiki/Umezawa_Michiharu,Umezawa Michiharu,梅沢 道治
https://en.wikipedia.org/wiki/Hiromi_Go,Hiromi Go,郷 ひろみ
https://en.wikipedia.org/wiki/Kitasato_Shibasabur%C5%8D,Baron Kitasato Shibasaburō,北里 柴三郎
https://en.wikipedia.org/wiki/Hideaki_Tokunaga,Hideaki Tokunaga,德永 英明
https://en.wikipedia.org/wiki/Shigeto_Tsuru,Shigeto Tsuru,都留 重人
https://en.wikipedia.org/wiki/Nishikawa_Castle,Nishikawa Castle,西川城
https://en.wikipedia.org/wiki/Usami_Sadamitsu,Usami Sadamitsu,宇佐美定満
https://en.wikipedia.org/wiki/Konosuke_Matsushita,Kōnosuke Matsushita,松下 幸之助
https://en.wikipedia.org/wiki/Mori_Nagayoshi,Mori Nagayoshi,森 長可
https://en.wikipedia.org/wiki/Nait%C5%8D_Torajir%C5%8D,Naitō Torajirō,内藤 虎次郎
https://en.wikipedia.org/wiki/Minamoto_no_Yoshiie,Minamoto No Yoshiie,源 義家
https://en.wikipedia.org/wiki/Aochi_Shigetsuna,Aochi Shigetsuna,青地 茂綱
https://en.wikipedia.org/wiki/Aya_Ueto,Aya Ueto,上戸 彩
https://en.wikipedia.org/wiki/Fujiwara_Norika,Norika Fujiwara,藤原 紀香
https://en.wikipedia.org/wiki/Aki_Takajo,Aki Takajo,高城 亜樹
https://en.wikipedia.org/wiki/Utada_Hikaru,Utada Hikaru,宇多田 ヒカル
https://en.wikipedia.org/wiki/Saig%C5%8D-no-Tsubone#Early_life,Lady Saigō,西郷局; 西郷の局 Saigō no Tsubone
https://en.wikipedia.org/wiki/Hotta_Masatoshi,Hotta Masatoshi,堀田 正俊
https://en.wikipedia.org/wiki/M%C5%8Dri_Takamoto,Mōri Takamoto,毛利 隆元
https://en.wikipedia.org/wiki/Michio_Morishima,Michio Morishima,森嶋 通夫
https://en.wikipedia.org/wiki/Minamoto_no_Mitsunaka,Minamoto no Mitsunaka,源 満仲
https://en.wikipedia.org/wiki/Y%C5%ABki_Hideyasu,Yūki Hideyasu,結城 秀康
https://en.wikipedia.org/wiki/Takeo_Miki,Takeo Miki,三木 武夫
https://en.wikipedia.org/wiki/Tomiichi_Murayama,Tomiichi Murayama,村山 富市
https://en.wikipedia.org/wiki/Kyota_Sugimoto,Kyota Sugimoto,杉本 京太
https://en.wikipedia.org/wiki/Arai_Hakuseki,Arai Hakuseki,新井 白石
https://en.wikipedia.org/wiki/%C5%8Cta_D%C5%8Dkan,Ōta Dōkan,太田 道灌
https://en.wikipedia.org/wiki/Takahashi_Shigetane,Takahashi Shigetane,高橋 紹運
